Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
Vannguard,Multifamily Finance Program,Brooklyn,11221.0,36.0,385,BK35,Preservation,Non Prevailing Wage,0,0,10,11,0,11,11
A.D. & Nash Co. L.P.,Multifamily Finance Program,Brooklyn,11221.0,36.0,289,BK35,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
867 DEKALB AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,36.0,281,BK35,New Construction,Non Prevailing Wage,0,0,0,11,0,11,35
1337 GATES AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,37.0,417,BK78,New Construction,Non Prevailing Wage,0,0,0,5,0,5,15
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
1240 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,Bronx,10452.0,16.0,197,BX63,Preservation,Non Prevailing Wage,0,26,130,157,0,157,157
Audubon,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,67,15,5,88,0,88,88
Nelson Luquer,Multifamily Finance Program,Brooklyn,11231.0,39.0,65,BK33,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
37 MONTROSE AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,511,BK90,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Bronx Shepherds,Multifamily Finance Program,Bronx,10456.0,17.0,135,BX35,Preservation,Non Prevailing Wage,0,5,27,32,0,32,32
CULVER EL PHASE I,Small Homes Program,Brooklyn,11218.0,39.0,226,BK88,New Construction,Non Prevailing Wage,0,0,0,0,4,4,4
VICTORY HIGHLANDS,Multifamily Incentives Program,Staten Island,10301.0,49.0,39,SI08,New Construction,Non Prevailing Wage,0,0,0,2,0,2,2
3470 FORT INDEPENDENCE STREET,Multifamily Incentives Program,Bronx,10463.0,11.0,279,BX28,New Construction,Non Prevailing Wage,0,0,12,36,0,36,120
39 WEST 23RD STREET,Multifamily Incentives Program,Manhattan,10010.0,3.0,58,MN13,New Construction,Non Prevailing Wage,0,0,2,2,0,2,35
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,3,7,10,0,10,10
83 STOCKHOLM STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,265,BK75,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
334 Beach 54th Street,Multifamily Finance Program,Queens,11692.0,31.0,97204,QN12,Preservation,Non Prevailing Wage,0,0,31,32,0,32,32
TBK905 - Bridge Street,Multifamily Finance Program,Brooklyn,11213.0,36.0,341,BK61,Preservation,Non Prevailing Wage,7,7,2,16,0,16,16
