Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
65 GRAHAM AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,491,BK90,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
LA CABANA HOUSES,Multifamily Finance Program,Brooklyn,11206.0,34.0,511,BK90,Preservation,Non Prevailing Wage,41,4,2,48,0,48,48
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,173,BX14,Preservation,Non Prevailing Wage,20,6,3,30,0,30,30
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11434.0,31.0,306,QN03,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
601 WEST 148TH STREET PROJECT,Multifamily Finance Program,Manhattan,10031.0,7.0,233,MN04,Preservation,Non Prevailing Wage,0,0,0,0,20,20,20
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11413.0,27.0,366,QN08,Preservation,Non Prevailing Wage,7,0,0,7,0,7,7
RODNEY DRIGGS AND SOUTH THIRD STREET HDFC.YR15.FY19,Multifamily Finance Program,Brooklyn,11211.0,34.0,551,BK73,Preservation,Non Prevailing Wage,0,28,0,29,0,29,29
Gabriel House LP,Multifamily Finance Program,Manhattan,10027.0,9.0,222,MN11,Preservation,Non Prevailing Wage,29,1,0,30,0,30,30
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11412.0,27.0,366,QN08,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
DREAMYARD NEP HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10453.0,14.0,217,BX36,Preservation,Non Prevailing Wage,4,10,9,25,0,25,25
WEST 144 CLUSTER LLC.YR15.FY21,Multifamily Finance Program,Manhattan,10039.0,9.0,232,MN03,Preservation,Non Prevailing Wage,2,15,0,17,0,17,17
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,110,40,0,150,150,150
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,98,BK34,Preservation,Non Prevailing Wage,6,2,0,8,0,8,8
A.D. & Nash Co. L.P.,Multifamily Finance Program,Brooklyn,11221.0,36.0,279,BK35,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,Manhattan,10009.0,2.0,34,MN22,New Construction,Non Prevailing Wage,0,0,10,0,10,10,10
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
SPRING CREEK PHASE 4B-2,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,8,8,0,8,8
ST. ANN'S APARTMENTS LLC.YR15.FY20,Multifamily Finance Program,Bronx,10456.0,16.0,149,BX35,Preservation,Non Prevailing Wage,0,2,5,7,0,7,7
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,100,BK34,Preservation,Non Prevailing Wage,5,1,0,6,0,6,6
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,53,BK33,Preservation,Non Prevailing Wage,0,1,0,2,0,2,2
AUSTIN 147,Multifamily Incentives Program,Bronx,10455.0,8.0,31,BX39,New Construction,Non Prevailing Wage,0,55,24,79,0,79,80
Grand & Rogers Cluster - JGV,Multifamily Finance Program,Bronx,10456.0,16.0,17701,BX14,Preservation,Non Prevailing Wage,0,3,8,11,0,11,11
CASA PASIVA LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,37.0,421,BK78,Preservation,Non Prevailing Wage,4,8,1,14,0,14,14
HP W 48 HDFC.HUDMF.FY19,Multifamily Finance Program,Manhattan,10036.0,3.0,127,MN15,Preservation,Non Prevailing Wage,41,10,2,54,0,54,54
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11427.0,23.0,492,QN06,Preservation,Non Prevailing Wage,0,0,0,0,1,1,1
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,98,BK34,Preservation,Non Prevailing Wage,6,1,0,8,0,8,8
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
46-48 East 129 Street,Multifamily Finance Program,Manhattan,10035.0,9.0,206,MN03,Preservation,Non Prevailing Wage,0,0,10,0,10,10,10
610 WEST 178 ST. HDFC,Multifamily Finance Program,Manhattan,10033.0,10.0,263,MN36,Preservation,Non Prevailing Wage,2,15,5,22,0,22,22
DON L.W. RESYNDICATION,Multifamily Finance Program,Bronx,10459.0,16.0,125,BX35,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
HRP 133-134,Multifamily Finance Program,Manhattan,10031.0,7.0,219,MN06,Preservation,Non Prevailing Wage,0,0,30,30,0,30,30
NHP - HOPE HOMES CLUSTER AMENDMENT,Multifamily Finance Program,Manhattan,10035.0,9.0,206,MN03,Preservation,Non Prevailing Wage,0,0,0,0,4,4,4
325 GATES AVENUE,Multifamily Incentives Program,Brooklyn,11216.0,36.0,243,BK75,New Construction,Non Prevailing Wage,0,0,0,15,0,15,48
TAINO TOWERS.HUDMF.FY19,Multifamily Finance Program,Manhattan,10035.0,8.0,194,MN34,Preservation,Non Prevailing Wage,69,14,7,92,0,92,92
1643 NEW YORK AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Park Monroe II,Multifamily Finance Program,Brooklyn,11212.0,41.0,359,BK61,Preservation,Non Prevailing Wage,4,0,24,29,0,29,29
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,0,4,1,5,0,5,5
WILSON AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,37.0,435,BK77,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
317-329 Kent Avenue,Multifamily Incentives Program,Brooklyn,11249.0,33.0,551,BK73,New Construction,Non Prevailing Wage,0,0,104,104,0,104,522
810 FLUSHING AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,34.0,389,BK78,New Construction,Non Prevailing Wage,0,0,9,9,0,9,42
148-31 90TH AVE.,Multifamily Incentives Program,Queens,11435.0,24.0,240,QN61,New Construction,Non Prevailing Wage,0,0,18,18,0,18,90
ALMA - 713 CLASSON,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,0,0,1,76,0,76,76
Belmont Venezia,Multifamily Finance Program,Bronx,10458.0,15.0,393,BX06,Preservation,Non Prevailing Wage,0,0,23,24,0,24,24
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,80,50,130,0,130,130
FAC RENAISSANCE HDFC,Multifamily Finance Program,Brooklyn,11217.0,33.0,71,BK38,Preservation,Non Prevailing Wage,0,3,1,4,0,4,4
Locust Manor Family II (20136069),Multifamily Incentives Program,Queens,11434.0,27.0,33401,QN08,New Construction,Non Prevailing Wage,8,3,42,54,0,54,54
TBX909-Erickson,Multifamily Finance Program,Bronx,10459.0,16.0,151,BX35,Preservation,Non Prevailing Wage,0,0,11,11,0,11,11
3825 AND 3827 THIRD AVENUE,Multifamily Incentives Program,Bronx,10457.0,16.0,169,BX01,New Construction,Non Prevailing Wage,0,0,1,1,0,1,4
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,21,212,0,212,212
2096 STRAUSS STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11212.0,42.0,898,BK81,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,243,BK75,Preservation,Non Prevailing Wage,0,0,11,11,0,11,11
AQUINAS APARTMENTS LP.PLP.FY19,Multifamily Finance Program,Bronx,10457.0,17.0,373,BX17,Preservation,Non Prevailing Wage,0,0,0,0,0,0,21
West 140th Street,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,4,9,18,0,18,18
Madison EDJ LLC,Multifamily Finance Program,Brooklyn,11221.0,36.0,265,BK75,Preservation,Non Prevailing Wage,0,0,3,4,0,4,4
FAILE700LLC.HRP.FY19,Multifamily Finance Program,Bronx,10474.0,17.0,93,BX27,Preservation,Non Prevailing Wage,1,0,18,19,0,19,19
Hunts Point Cluster,Multifamily Finance Program,Bronx,10474.0,17.0,11502,BX27,Preservation,Non Prevailing Wage,0,2,7,10,0,10,10
EVERGREEN ESTATES,Multifamily Incentives Program,Bronx,10472.0,17.0,52,BX55,Preservation,Non Prevailing Wage,0,0,39,39,0,39,39
FULTON JEFFERSON HDFC.YR15.FY18,Multifamily Finance Program,Bronx,10457.0,16.0,167,BX01,Preservation,Non Prevailing Wage,7,32,3,42,0,42,42
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,5,5,0,5,5
MEC E. 125TH ST. PARCEL B WEST,Multifamily Finance Program,Manhattan,10035.0,8.0,242,MN34,New Construction,Non Prevailing Wage,0,101,101,297,0,297,404
Monsignor Alexius Jarka Hall,Multifamily Finance Program,Brooklyn,11249.0,34.0,553,BK73,Preservation,Non Prevailing Wage,55,4,4,63,0,63,63
BK WESTCHESTER-HOME STREET LLC.PLP.FY20,Multifamily Finance Program,Bronx,10459.0,17.0,12102,BX27,Preservation,Non Prevailing Wage,8,45,5,59,0,59,59
Margarita Santos Apartments HDFC,Multifamily Finance Program,Bronx,10460.0,15.0,363,BX17,Preservation,Non Prevailing Wage,0,6,25,31,0,31,31
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
Bensonhurst Housing For The Elderly,Multifamily Finance Program,Brooklyn,11214.0,44.0,270,BK28,Preservation,Non Prevailing Wage,0,70,0,71,0,71,71
Bronx Shepherds,Multifamily Finance Program,Bronx,10453.0,14.0,24501,BX36,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
New Settlement Apartments,Multifamily Finance Program,Bronx,10452.0,14.0,209,BX63,Preservation,Non Prevailing Wage,2,30,20,54,0,54,54
DANCE THEATRE OF HARLEM,Small Homes Program,Manhattan,10031.0,7.0,23501,MN04,New Construction,Non Prevailing Wage,0,9,29,39,0,39,39
TBK902 - Shinda,Multifamily Finance Program,Brooklyn,11238.0,35.0,229,BK69,Preservation,Non Prevailing Wage,0,0,4,8,0,8,8
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,249,BK75,Preservation,Non Prevailing Wage,0,4,4,8,0,8,8
695 GRAND STREET,Multifamily Finance Program,Brooklyn,11211.0,34.0,495,BK90,New Construction,Non Prevailing Wage,16,13,12,51,0,51,51
LANGSAM 3 - 1565-1573 WHITE PLAINS.HPO.FY19,Multifamily Finance Program,Bronx,10462.0,18.0,21601,BX08,Preservation,Non Prevailing Wage,2,12,34,49,0,49,49
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11436.0,28.0,190,QN76,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
ARKER. 888 FOUNTAIN AVE. BUILDING B1,Multifamily Finance Program,Brooklyn,11208.0,42.0,1070,BK82,New Construction,Prevailing Wage,199,0,0,200,0,200,200
LIGHTHOUSE POINT,Multifamily Finance Program,Staten Island,10301.0,49.0,3,SI22,New Construction,Non Prevailing Wage,0,0,24,24,0,24,115
1223 BROADWAY,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,2,2,0,2,7
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,36.0,263,BK75,Preservation,Non Prevailing Wage,0,3,1,4,0,4,4
STANHOPE ESTATES APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,14
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11412.0,27.0,520,QN08,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
2316-2322 ANDREWS AVENUE NORTH HDFC.HPO.FY19,Multifamily Finance Program,Bronx,10468.0,14.0,255,BX30,Preservation,Non Prevailing Wage,1,6,13,21,0,21,21
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11207.0,42.0,1130,BK85,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
Madison EDJ LLC,Multifamily Finance Program,Brooklyn,11216.0,36.0,267,BK75,Preservation,Non Prevailing Wage,0,2,1,4,0,4,4
336/338 EAST 28TH STREET,Multifamily Incentives Program,Brooklyn,11226.0,45.0,828,BK95,New Construction,Non Prevailing Wage,0,0,0,5,0,5,13
THE STACK,Multifamily Incentives Program,Manhattan,10034.0,10.0,295,MN01,New Construction,Non Prevailing Wage,0,0,6,6,0,6,27
Urban Strategies Apts,Multifamily Finance Program,Brooklyn,11233.0,37.0,369,BK79,Preservation,Non Prevailing Wage,0,1,2,4,0,4,4
KENMORE HALL ASSOCIATES LP.YR15.FY17,Multifamily Finance Program,Manhattan,10010.0,2.0,68,MN21,Preservation,Non Prevailing Wage,39,7,279,327,0,327,327
1259 51ST STREET,Multifamily Incentives Program,Brooklyn,11219.0,44.0,220,BK88,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
Park Avenue Thorpe,Multifamily Finance Program,Bronx,10458.0,15.0,38302,BX40,Preservation,Non Prevailing Wage,0,0,20,20,0,20,20
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,1,116,1,0,118,118,118
14 HAVENS PLACE APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,37.0,367,BK79,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
JAMAICA CROSSING (MID-RISE),Multifamily Finance Program,Queens,11435.0,27.0,208,QN61,New Construction,Non Prevailing Wage,0,26,78,130,0,130,130
Fox Hill Apartments,Multifamily Finance Program,Staten Island,10304.0,49.0,40,SI08,Preservation,Non Prevailing Wage,94,16,5,115,0,115,115
ZEVRONE REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10472.0,17.0,52,BX55,Preservation,Non Prevailing Wage,1,6,10,17,0,17,17
PROVIDENCE HOUSE. 178 HALSEY ST.AND 243 HANCOCK ST,Multifamily Finance Program,Brooklyn,11216.0,36.0,249,BK75,Preservation,Prevailing Wage,10,0,0,10,0,10,10
LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,Multifamily Finance Program,Bronx,10455.0,17.0,71,BX34,New Construction,Non Prevailing Wage,43,44,73,215,0,215,215
1199 HOUSING CORP.PLP.FY19,Multifamily Finance Program,Manhattan,10029.0,8.0,162,MN33,Preservation,Non Prevailing Wage,66,310,0,0,376,376,376
BRIDGE COMMUNITY,Multifamily Finance Program,Brooklyn,11233.0,41.0,381,BK61,Preservation,Non Prevailing Wage,0,2,6,8,0,8,8
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10010.0,4.0,60,MN50,Preservation,Non Prevailing Wage,0,0,5,52,0,52,52
Riverton Square,Multifamily Finance Program,Manhattan,10037.0,9.0,210,MN34,Preservation,Non Prevailing Wage,0,0,109,163,0,163,206
FAC RENAISSANCE LP.YR15.FY17,Multifamily Finance Program,Brooklyn,11215.0,39.0,133,BK37,Preservation,Non Prevailing Wage,0,7,3,10,0,10,10
215 AUDUBON AVENUE HDFC.GHPP.FY20,Multifamily Finance Program,Manhattan,10033.0,10.0,261,MN36,Preservation,Non Prevailing Wage,24,19,3,47,0,47,47
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,18,18,0,18,18
Home Street Homes,Multifamily Finance Program,Bronx,10459.0,17.0,12101,BX35,Preservation,Non Prevailing Wage,0,1,7,8,0,8,8
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11412.0,27.0,532,QN34,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
1490 CROTONA PARK EAST,Multifamily Finance Program,Bronx,10457.0,17.0,163,BX99,Preservation,Non Prevailing Wage,0,0,38,39,0,39,39
204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,Manhattan,10009.0,2.0,34,MN22,New Construction,Non Prevailing Wage,0,0,0,11,0,11,11
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,1,1,1,4,0,4,4
New Settlement Apartments,Multifamily Finance Program,Bronx,10452.0,14.0,223,BX63,Preservation,Non Prevailing Wage,2,35,31,68,0,68,68
198 19TH STREET,Multifamily Incentives Program,Brooklyn,11232.0,38.0,143,BK37,New Construction,Non Prevailing Wage,0,0,6,6,0,6,29
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,12,6,13,31,0,31,31
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
24 CEDAR STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,393,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
Tahl-Propp - AIMCO,Multifamily Finance Program,Manhattan,10026.0,9.0,186,MN11,Preservation,Non Prevailing Wage,0,24,0,24,0,24,24
333 Lenox Rd (20136053),Multifamily Incentives Program,Brooklyn,11226.0,40.0,818,BK95,New Construction,Non Prevailing Wage,8,12,37,58,0,58,58
222 EAST 44TH STREET,Multifamily Incentives Program,Manhattan,10017.0,4.0,88,MN19,New Construction,Non Prevailing Wage,0,43,44,109,0,109,429
TRI-BLOCK,Multifamily Incentives Program,Brooklyn,11217.0,35.0,33,BK68,Preservation,Non Prevailing Wage,0,16,0,16,0,16,16
366 STOCKTON STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,36.0,287,BK35,New Construction,Non Prevailing Wage,0,0,3,3,0,3,15
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,Manhattan,10027.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,0,0,21,0,21,21
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,7,79,0,79,79
52-22 ROOSEVELT AVENUE APARTMENTS,Multifamily Incentives Program,Queens,11377.0,26.0,25302,QN31,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
209-211-213 TROY AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11213.0,36.0,345,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
MHANY East NY Partnership,Multifamily Finance Program,Brooklyn,11208.0,42.0,1196,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
516 WEST 162 STREET APARTMENTS,Multifamily Incentives Program,Manhattan,10032.0,7.0,245,MN36,New Construction,Non Prevailing Wage,0,0,4,4,0,4,20
THE FREDERICK,Multifamily Finance Program,Manhattan,10027.0,9.0,215,MN03,New Construction,Non Prevailing Wage,15,8,45,75,0,75,75
118 Fulton Street,Multifamily Incentives Program,Manhattan,10038.0,1.0,1502,MN25,New Construction,Non Prevailing Wage,0,0,97,97,0,97,483
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10027.0,7.0,20901,MN09,Preservation,Non Prevailing Wage,0,3,16,19,0,19,19
244-246 HOWARD AVENUE APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,41.0,379,BK35,New Construction,Non Prevailing Wage,0,0,0,7,0,7,22
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11217.0,35.0,35,BK68,Preservation,Non Prevailing Wage,7,65,27,100,0,100,100
Essex Terrace,Multifamily Finance Program,Brooklyn,11208.0,42.0,1116,BK82,Preservation,Non Prevailing Wage,0,0,0,15,0,15,15
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,0,32,0,32,32,32
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,180,MN34,Preservation,Non Prevailing Wage,0,2,10,13,0,13,13
MHANY 2,Multifamily Finance Program,Brooklyn,11207.0,37.0,1152,BK82,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,53,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11413.0,31.0,682,QN66,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11238.0,35.0,221,BK61,Preservation,Non Prevailing Wage,0,5,3,8,0,8,8
RENEWAL HDFC.GHPP.FY17,Multifamily Finance Program,Bronx,10458.0,15.0,39901,BX05,Preservation,Non Prevailing Wage,0,0,0,0,0,0,11
25-40 31ST STREET APARTMENTS,Multifamily Incentives Program,Queens,11102.0,22.0,71,QN71,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,32,0,0,32,32,32
MHANY 2,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
2543 CRUGER AVENUE,Multifamily Incentives Program,Bronx,10467.0,15.0,330,BX07,New Construction,Non Prevailing Wage,0,0,0,5,0,5,15
44-46 STANHOPE STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,4,4,0,4,20
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Staten Island,10303.0,49.0,223,SI12,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,245,BK75,Preservation,Non Prevailing Wage,0,6,1,7,0,7,7
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
211 WEST 28TH STREET,Multifamily Incentives Program,Manhattan,10001.0,3.0,95,MN17,New Construction,Non Prevailing Wage,0,0,37,37,0,37,37
STAGG 4 - TYLER'S BRONX.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,420,BX44,Preservation,Non Prevailing Wage,0,0,10,10,0,10,10
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,4,40,0,40,40
Triataros Corp.,Multifamily Finance Program,Brooklyn,11208.0,37.0,1188,BK83,Preservation,Non Prevailing Wage,0,1,14,20,0,20,20
DREAMYARD NEP HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10456.0,16.0,175,BX14,Preservation,Non Prevailing Wage,2,8,5,16,0,16,16
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11206.0,36.0,283,BK35,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,13.0,326,BX31,Preservation,Non Prevailing Wage,0,0,0,2,0,2,2
KNICKERBOCKER VILLAGE,Multifamily Incentives Program,Manhattan,10002.0,1.0,8,MN27,Preservation,Non Prevailing Wage,0,0,121,150,0,150,150
9 ARGYLE ROAD HDFC.GHPP.FY19,Multifamily Finance Program,Brooklyn,11218.0,40.0,506,BK42,Preservation,Non Prevailing Wage,0,12,0,0,12,12,12
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER I,Small Homes Program,Queens,11434.0,27.0,282,QN08,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11205.0,33.0,235,BK69,Preservation,Non Prevailing Wage,0,0,7,7,0,7,7
287 MAPLE STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11225.0,40.0,800,BK60,New Construction,Non Prevailing Wage,0,0,0,2,0,2,6
1779 WEEKS AVENUE APARTMENTS,Multifamily Incentives Program,Bronx,10457.0,15.0,22901,BX41,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
BLAKE/HENDRIX,Small Homes Program,Brooklyn,11208.0,42.0,1164,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10010.0,4.0,60,MN50,Preservation,Non Prevailing Wage,0,0,6,53,0,53,53
HCCI 2,Multifamily Finance Program,Manhattan,10026.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,14,140,0,140,140
US LOTTPORT HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11212.0,42.0,896,BK81,Preservation,Non Prevailing Wage,2,6,3,11,0,11,11
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,40,40,0,40,40
600 EAST 156TH STREET,Multifamily Finance Program,Bronx,10455.0,17.0,75,BX34,New Construction,Non Prevailing Wage,35,52,87,175,0,175,175
